Tour Date,Format Date,Codes,Tour,City,Country,Account Group,Account,Amount
02/25/23,Feb-23,Boat App,"Best of Niagara Falls, Canada Exclusive Private Tour","Niagara Falls, Canada",Canada,Revenue,Tour Income,2506
02/14/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
02/11/23,Feb-23,Boat App,Scenic Miami Night Tour,Miami,USA,Revenue,Tour Income,63.2
02/04/23,Feb-23,Boat App,Miami City Tour,Miami,USA,Revenue,Tour Income,55.2
01/19/23,Jan-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
01/05/23,Jan-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,357.6
01/04/23,Jan-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,778
01/04/23,Jan-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,537
02/18/23,Feb-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,516
02/17/23,Feb-23,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,134.4
02/18/23,Feb-23,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,436.8
02/18/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
02/17/23,Feb-23,Boat App,Austin City Tour with State Capitol,Austin,USA,Revenue,Tour Income,55.2
02/18/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/17/23,Feb-23,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366
02/17/23,Feb-23,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,366.4
02/18/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,143.2
02/18/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/18/23,Feb-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,159.2
02/18/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
02/19/23,Feb-23,Boat App,Best of Miami Exclusive Private Tour,Miami,USA,Revenue,Tour Income,0
02/11/23,Feb-23,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,778
02/10/23,Feb-23,Boat App,Scenic Savannah Night Tour with Riverboat Dinner Cruise,Savannah,USA,Revenue,Tour Income,191.2
01/28/23,Jan-23,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,159.2
02/18/23,Feb-23,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,318.4
02/17/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/17/23,Feb-23,Boat App,Best of Halifax Tour including Peggy's Cove,Halifax,Canada,Revenue,Tour Income,261.6
02/14/23,Feb-23,Boat App,Best of Philadelphia Tour,Philadelphia,USA,Revenue,Tour Income,111.2
02/17/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/14/23,Feb-23,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,318.4
02/17/23,Feb-23,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
02/12/23,Feb-23,Boat App,Best of Miami from Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,127.2
02/16/23,Feb-23,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,268.8
02/16/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/16/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
02/17/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,476.8
02/17/23,Feb-23,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
